Title,Authors,Abstract,Published Year,Published Month,Journal,Volume,Issue,Pages,Accession Number,DOI,Ref,Covidence #,Study,Notes,Tags,Cov Num,Date Added
,"Geissbühler, P.; Geissbühler, G.",,2020,,Revue medicale suisse,16,690,750-751,,,33197,#174767,Geissbühler 2020,,,174767,06-05-20
,"Fumeaux, T.",,2020,,Revue medicale suisse,16,690,756,,,33196,#174768,Fumeaux 2020,,,174768,06-05-20
,"Eggimann, P.",,2020,,Revue medicale suisse,16,690,752-753,,,33195,#174769,Eggimann 2020,,,174769,06-05-20
Consensus statement for the management of acute coronary syndromes and the covid-19 pandemic.: Report of the ischemic heart disease committee. fac,"Muntaner, J. A.; Ramos, H. R.; Macín, S. M.; Bono, J. O.; Zapata, G. O.; Zoni, R.; Atencio, L.; Fernández Cid, G.; Barcudi, R. J.; Paterlini, G. A.; Suasnabar, R.; Mauro, D. O.; Moisés Azize, G.; Rengel, E.; Amoroso, A.",,2020,,Revista de la Federacion Argentina de Cardiologia,49,1,36-42,,,33191,#174773,Muntaner 2020,,,174773,06-05-20
Recommendations of the ecocardiography and cardiac images committeefor the protection of patients and health personnel during the covid-19 pandemic,"Garófalo, P.; Albisu, J. P.; Solano Benítez, S.; Ruarte López, C.; Ros, G.; Simondi, H.; Vega, G.",,2020,,Revista de la Federacion Argentina de Cardiologia,49,1,43-44,,,33190,#174774,Garófalo 2020,,,174774,06-05-20
"COVID-19 pandemic implications for the patient with heart failure, heart transplant and ventricular assistance: Recommendations from the Heart Failure Association of the Spanish Society of Cardiology","de Juan Bagudá, J.; Farrero Torres, M.; García-Cosío, M. D.; Recio Mayoral, A.; Sabé Fernández, N.; García Pinilla, J. M.; González Costello, J.","The outbreak of the COVID-19 pandemic is a real social and healthcare system challenge. Its rapid expansion implies that many affected patients develop associated symptoms, including cardiological symptoms. Patients with cardiological diseases are at increased risk of being infected and the severity of the disease. Heart failure, including heart transplantation and ventricular assist devices, is a relevant group within the cardiological patients. For this reason, the following text has been intended to give a series of recommendations for the management of these patients, in the different scenarios in which they can be found: outpatient and hospitalized, with and without COVID-19.",2020,,REC: CardioClinics,,,,,10.1016/j.rccl.2020.03.007,33177,#174787,deJuanBagudá 2020,,,174787,06-05-20
SARS-CoV2 (COVID-19) infection: is fetal surgery in times of national disasters reasonable?,"Deprest, J.; Van Ranst, M.; Lannoo, L.; Bredaki, E.; Ryan, G.; David, A.; Richter, J.; Van Mieghem, T.","Even though the global COVID-19 pandemic may affect how medical care is delivered in general, most countries try to maintain steady access for women to routine pregnancy care, including fetal anomaly screening. This means that, also during this pandemic, fetal anomalies will be detected, and that discussions regarding invasive genetic testing and possibly fetal therapy will need to take place. For patients, concerns about Severe Acute Respiratory Syndrome-Corona Virus 2 will add to the anxiety caused by the diagnosis of a serious fetal anomaly. Yet, also for fetal medicine teams the situation gets more complex as they must weigh up the risks and benefits to the fetus as well as the mother, while managing a changing evidence base and logistic challenges in their healthcare system.",2020,,Prenatal Diagnosis,,,,,10.1002/pd.5702,33164,#174800,Deprest 2020,,,174800,06-05-20
Clinical and CT features in pediatric patients with COVID-19 infection: Different points from adults,"Xia, W.; Shao, J.; Guo, Y.; Peng, X.; Li, Z.; Hu, D.","Purpose: To discuss the different characteristics of clinical, laboratory, and chest computed tomography (CT) in pediatric patients from adults with 2019 novel coronavirus (COVID-19) infection. Methods: The clinical, laboratory, and chest CT features of 20 pediatric inpatients with COVID-19 infection confirmed by pharyngeal swab COVID-19 nucleic acid test were retrospectively analyzed during 23 January and 8 February 2020. The clinical and laboratory information was obtained from inpatient records. All the patients were undergone chest CT in our hospital. Results: Thirteen pediatric patients (13/20, 65%) had an identified history of close contact with COVID-19 diagnosed family members. Fever (12/20, 60%) and cough (13/20, 65%) were the most common symptoms. For laboratory findings, procalcitonin elevation (16/20, 80%) should be pay attention to, which is not common in adults. Coinfection (8/20, 40%) is common in pediatric patients. A total of 6 patients presented with unilateral pulmonary lesions (6/20, 30%), 10 with bilateral pulmonary lesions (10/20, 50%), and 4 cases showed no abnormality on chest CT (4/20, 20%). Consolidation with surrounding halo sign was observed in 10 patients (10/20, 50%), ground-glass opacities were observed in 12 patients (12/20, 60%), fine mesh shadow was observed in 4 patients (4/20, 20%), and tiny nodules were observed in 3 patients (3/20, 15%). Conclusion: Procalcitonin elevation and consolidation with surrounding halo signs were common in pediatric patients which were different from adults. It is suggested that underlying coinfection may be more common in pediatrics, and the consolidation with surrounding halo sign which is considered as a typical sign in pediatric patients.",2020,,Pediatric Pulmonology,55,5,1169-1174,,10.1002/ppul.24718,33149,#174815,Xia 2020,,,174815,06-05-20
Latest information on COVID-19 on one platform—for all journals,"Wolff, I.",,2020,,Notfall und Rettungsmedizin,23,3,161-162,,10.1007/s10049-020-00703-w,33104,#174860,Wolff 2020,,,174860,06-05-20
Neurologists Prepare to Redeploy on COVID-19 Front Lines Across the Country,"Shaw, Gina",,2020,,Neurology Today,20,9,10-Nov,00132985-202005070-00002,10.1097/01.NT.0000666932.84146.3a,33095,#174869,Shaw 2020,,,174869,06-05-20
